AnoMesDia,Instancia,DataSource,QtdConexoesCriadasDia
20241209,srvpje1goutjb13,JFO,0
20241209,srvpje1goutjb13,JFPA,0
20241209,srvpje1goutjb13,JFPI,0
20241209,srvpje1goutjb13,JFRO,0
20241209,srvpje1goutjb13,JFRR,0
20241209,srvpje1goutjb13,JFTO,0
20241209,srvpje1goutjb13,MBA,0
20241209,srvpje1goutjb13,PSS,0
20241209,srvpje1goutjb13,PjeDS,6147
20241209,srvpje1goutjb13,PjeDspace,0
20241209,srvpje1goutjb13,PjeLogDS,93
20241209,srvpje1goutjb13,STM,0
20241209,srvpje1goutjb13,TBT,0
20241209,srvpje1goutjb13,TRF1,0
20241209,srvpje1goutjb13,UBE,0
20241209,srvpje1goutjb13,UDI,0
20241209,srvpje1goutjb14,ILS,0
20241209,srvpje1goutjb14,ITZ,0
20241209,srvpje1goutjb14,JFAC,0
20241209,srvpje1goutjb14,JFAM,0
20241209,srvpje1goutjb14,JFAP2,0
20241209,srvpje1goutjb14,JFAP,0
20241209,srvpje1goutjb14,JFBA,0
20241209,srvpje1goutjb14,JFDF,0
20241209,srvpje1goutjb14,JFGO,0
20241209,srvpje1goutjb14,JFMA,0
20241209,srvpje1goutjb14,JFMG,0
20241209,srvpje1goutjb14,JFMT,0
20241209,srvpje1goutjb14,JFO,0
20241209,srvpje1goutjb14,JFPA,0
20241209,srvpje1goutjb14,JFPI,0
20241209,srvpje1goutjb14,JFRO,0
20241209,srvpje1goutjb14,JFRR,0
20241209,srvpje1goutjb14,JFTO,0
20241209,srvpje1goutjb14,MBA,0
20241209,srvpje1goutjb14,PSS,0
20241209,srvpje1goutjb14,PjeDS,6559
20241209,srvpje1goutjb14,PjeDspace,0
20241209,srvpje1goutjb14,PjeLogDS,102
20241209,srvpje1goutjb14,STM,0
20241209,srvpje1goutjb14,TBT,0
20241209,srvpje1goutjb14,TRF1,0
20241209,srvpje1goutjb14,UBE,0
20241209,srvpje1goutjb14,UDI,0
20241209,srvpje1goutjb15,ILS,0
20241209,srvpje1goutjb15,ITZ,0
20241209,srvpje1goutjb15,JFAC,0
20241209,srvpje1goutjb15,JFAM,0
20241209,srvpje1goutjb15,JFAP2,0
20241209,srvpje1goutjb15,JFAP,0
20241209,srvpje1goutjb15,JFBA,0
20241209,srvpje1goutjb15,JFDF,0
20241209,srvpje1goutjb15,JFGO,0
20241209,srvpje1goutjb15,JFMA,0
20241209,srvpje1goutjb15,JFMG,0
20241209,srvpje1goutjb15,JFMT,0
20241209,srvpje1goutjb15,JFO,0
20241209,srvpje1goutjb15,JFPA,0
20241209,srvpje1goutjb15,JFPI,0
20241209,srvpje1goutjb15,JFRO,0
